time,values
2.116,0.0241
2.118,-0.401
2.12,-0.502
2.122,0.26
2.124,1.14
2.126,-0.286
2.128,-0.486
2.13,0.62
2.132,-0.575
2.134,1.03
2.136,-0.621
2.138,-0.189
2.14,0.176
2.142,-0.662
2.144,0.325
2.146,0.617
2.148,-0.302
2.15,0.526
2.152,0.0577
2.154,-0.408
2.156,0.0995
2.158,1.12
2.16,0.178
2.162,0.537
2.164,-0.414
2.166,0.149
2.168,0.376
2.17,-0.657
2.172,-0.629
2.174,1.17
2.176,-0.845
2.178,-0.634
2.18,0.576
2.182,-0.0506
2.184,-0.682
2.186,1.25
2.188,-0.179
2.19,0.75
2.192,-0.0921
2.194,0.892
2.196,-0.312
2.198,1.03
2.2,-0.687
2.202,0.173
2.204,-0.24
2.206,0.32
2.208,0.155
2.21,-0.073
2.212,-0.755
2.214,0.041
2.216,-1.07
2.218,-0.689
2.22,-0.296
2.222,0.902
2.224,0.191
2.226,0.63
2.228,0.437
2.23,0.855
2.232,0.788
2.234,0.844
2.236,-0.482
2.238,0.619
2.24,-0.501
2.242,-0.481
2.244,-0.698
2.246,0.288
2.248,0.501
2.25,-0.921
2.252,0.0158
2.254,-0.907
2.256,-0.1
2.258,0.349
2.26,-0.278
2.262,1.02
2.264,0.763
2.266,-0.509
2.268,-0.0984
2.27,0.795
2.272,0.929
2.274,-0.153
2.276,-0.309
2.278,-0.438
2.28,0.93
2.282,-0.172
2.284,0.337
2.286,0.59
2.288,-0.217
2.29,-0.26
2.292,-0.729
2.294,-0.612
2.296,-0.312
2.298,0.0661
2.3,-0.249
2.302,-0.612
2.304,0.669
2.306,-0.521
2.308,1.01
2.31,0.351
2.312,-0.17
2.314,1.12
2.316,-0.105
2.318,-0.273
2.32,0.457
2.322,-0.834
2.324,0.357
2.326,0.5
2.328,-0.0295
2.33,-0.204
2.332,0.226
2.334,0.829
2.336,0.387
2.338,0.0514
2.34,0.449
2.342,-0.831
2.344,-0.267
2.346,0.229
2.348,-0.226
2.35,-0.0635
2.352,-0.479
2.354,0.667
2.356,0.408
2.358,0.927
2.36,0.632
2.362,-0.137
2.364,-0.305
2.366,-0.0501
2.368,-0.28
2.37,0.459
2.372,0.545
2.374,-0.337
2.376,-0.503
2.378,0.889
2.38,-0.239
2.382,-0.176
2.384,-0.994
2.386,0.7
2.388,0.029
2.39,0.491
2.392,0.517
2.394,0.607
2.396,0.749
2.398,0.232
2.4,-0.531
2.402,-0.739
2.404,0.951
2.406,0.692
2.408,-0.873
2.41,-0.534
2.412,-0.666
2.414,-0.397
2.416,0.106
2.418,0.11
2.42,0.0577
2.422,0.0387
2.424,0.068
2.426,0.0522
2.428,0.103
2.43,0.109
2.432,0.0489
2.434,0.0479
2.436,0.0734
2.438,0.111
2.44,0.0552
2.442,0.0681
2.444,0.102
2.446,0.0743
2.448,0.113
2.45,0.0455
2.452,0.0662
2.454,0.0956
2.456,0.0969
2.458,0.0696
2.46,0.0211
2.462,0.0306
2.464,0.0321
2.466,0.0442
2.468,0.0717
2.47,0.059
2.472,0.0801
2.474,0.0856
2.476,0.062
2.478,0.0806
2.48,0.0868
2.482,0.103
2.484,0.0622
2.486,0.102
2.488,0.0815
2.49,0.0438
2.492,0.0816
2.494,0.063
2.496,0.0507
2.498,0.0702
2.5,0.0303
2.502,0.119
2.504,0.0603
2.506,0.0622
2.508,0.112
2.51,0.0773
2.512,0.0936
2.514,0.0243
2.516,0.117
2.518,0.0262
2.52,0.0385
2.522,0.0531
2.524,0.088
2.526,0.0847
2.528,0.0485
2.53,0.0687
2.532,0.0994
2.534,0.0442
2.536,0.0806
2.538,0.0418
2.54,0.12
2.542,0.0833
2.544,0.048
2.546,0.101
2.548,0.0945
2.55,0.114
2.552,0.0265
2.554,0.1
2.556,0.109
2.558,0.0699
2.56,0.0478
2.562,0.0886
2.564,0.101
2.566,0.0779
2.568,0.0815
2.57,0.0799
2.572,0.104
2.574,0.0495
2.576,0.0457
2.578,0.0998
2.58,0.0336
2.582,0.122
2.584,0.0989
2.586,0.0386
2.588,0.0627
2.59,0.085
2.592,0.0697
2.594,0.0864
2.596,0.1
2.598,0.0682
2.6,0.114
2.602,0.0754
2.604,0.0519
2.606,0.117
2.608,0.141
2.61,0.0925
2.612,0.0648
2.614,0.105
2.616,0.082
2.618,0.0993
2.62,0.092
2.622,0.0432
2.624,0.0974
2.626,0.0401
2.628,0.071
2.63,0.0985
2.632,0.123
2.634,0.0837
2.636,0.0587
2.638,0.0468
2.64,0.0456
2.642,0.106
2.644,0.128
2.646,0.0664
2.648,0.0704
2.65,0.0796
2.652,0.0672
2.654,0.0342
2.656,0.119
2.658,0.117
2.66,0.0607
2.662,0.0717
2.664,0.0326
2.666,0.0765
2.668,0.0395
2.67,0.109
2.672,0.0755
2.674,0.0931
2.676,0.0977
2.678,0.0572
2.68,0.0571
2.682,0.0586
2.684,0.0855
2.686,0.0371
2.688,0.0656
2.69,0.112
2.692,0.033
2.694,0.112
2.696,0.0937
2.698,0.0737
2.7,0.0847
2.702,0.0889
2.704,0.0579
2.706,0.138
2.708,0.569
2.71,0.769
